"","shortName","title","category"
"1","acspsw03","ABCD ACS Post Stratification Weights","Socioeconomic"
"2","abcd_bpmt01","ABCD Brief Problem Monitor-Teacher Form For Ages 6-18 (BPMT)","Behavior"
"3","cct01","ABCD Cash Choice Task","Cognitive"
"4","abcd_cna01","ABCD Child Nutrition Assessment","Food"
"5","crpbi01","ABCD Children's Report of Parental Behavioral Inventory","Parenting"
"6","dhx01","ABCD Developmental History Questionnaire","Med History"
"7","fhxp102","ABCD Family History  Assessment Part 1","Med History"
"8","fhxp201","ABCD Family History Assessment Part 2","Med History"
"9","abcd_hsss01","ABCD Hormone Saliva Salimetric Scores","Phys Exam"
"10","abcd_isc01","ABCD Irma Substudy Child","Questionnaire"
"11","abcd_ip01","ABCD Irma Substudy Parent","Questionnaire"
"12","lmtp201","ABCD Little Man Task Summary Scores","Task Based"
"13","abcd_lpds01","ABCD Longitudinal Parent Demographics Survey","Demographics"
"14","abcd_lpksad01","ABCD Longitudinal Parent Diagnostic Interview for DSM-5 Background Items Full (KSAD)","Diagnostic"
"15","abcd_lpmh01","ABCD Longitudinal Parent Medical History Questionnaire","Med History"
"16","abcd_lpohstbi01","ABCD Longitudinal Parent Ohio State Traumatic Brain Injury Screen-Short Modified (OTBI)","Trauma"
"17","abcd_lpsaiq01","ABCD Longitudinal Parent Sports and Activities Involvement Questionnaire (SAIQ)","Activity"
"18","abcd_lssmh01","ABCD Longitudinal Summary Scores Medical History","Med History"
"19","abcd_lsssa01","ABCD Longitudinal Summary Scores Sports Activity","Activity"
"20","abcd_lsstbi01","ABCD Longitudinal Summary Scores Traumatic Brain Injury","Trauma"
"21","abcd_lt01","ABCD Longitudinal Tracking","Summary"
"22","abcd_mri01","ABCD MRI Info","Summary"
"23","abcd_ysr01","ABCD Other Resilience","Social Adjustment"
"24","pacc01","ABCD Parent Acculturation Survey Modified from PhenX (ACC)","Questionnaire"
"25","pasr01","ABCD Parent Adult Self Report Raw Scores Aseba (ASR) ","Questionnaire"
"26","abcd_asrs01","ABCD Parent Adult Self Report Scores Aseba (ASR)","Questionnaire"
"27","abcd_cbcl01","ABCD Parent Child Behavior Checklist Raw Scores Aseba (CBCL)","Behavior"
"28","abcd_cbcls01","ABCD Parent Child Behavior Checklist Scores Aseba (CBCL)","Behavior"
"29","abcd_crpf01","ABCD Parent Community Risk and Protective Factors (CRPF)","Questionnaire"
"30","pdem02","ABCD Parent Demographics Survey","Demographics"
"31","abcd_ptsd01","ABCD Parent Diagnostic Interview for DSM-5 (KSADS) Traumatic Events","PTSD"
"32","dibf01","ABCD Parent Diagnostic Interview for DSM-5 Background Items Full (KSADS-5)","Social Adjustment"
"33","abcd_ksad01","ABCD Parent Diagnostic Interview for DSM-5 Full (KSADS-5)","Diagnostic"
"34","fes02","ABCD Parent Family Environment Scale-Family Conflict Subscale Modified from PhenX (FES)","Parenting"
"35","abcd_pfb01","ABCD Parent Fitbit Baseline","Questionnaire"
"36","abcd_pff01","ABCD Parent Fitbit Followup","Questionnaire"
"37","abcd_pgi01","ABCD Parent Gender Identity","Questionnaire"
"38","abcd_pksadscd01","ABCD Parent KSADS Conduct Disorder","Diagnostic"
"39","abcd_ple01","ABCD Parent Life Events","Life Events"
"40","abcd_mx01","ABCD Parent Medical History Questionnaire (MHX)","Med History"
"41","medsy01","ABCD Parent Medications Survey Inventory Modified from PhenX (PMP)","Treatment"
"42","macv01","ABCD Parent Mexican American Cultural Values Scale Modified (MACV)","Social Adjustment"
"43","abcd_meim01","ABCD Parent Multi-Group Ethnic Identity-Revised Survey (MEIM)","Social Adjustment"
"44","abcd_pnsc01","ABCD Parent Neighborhood Safety/Crime Survey Modified from PhenX (NSC)","Questionnaire"
"45","abcd_otbi01","ABCD Parent Ohio State Traumatic Brain Injury Screen-Short Modified (OTBI)","Trauma"
"46","abcd_pgbi01","ABCD Parent Parent General Behavior Inventory-Mania (PGBI)","Questionnaire"
"47","plus01","ABCD Parent Participant Last Use Survey Day 2 3 4 (PLUS)","Questionnaire"
"48","abcd_ppdms01","ABCD Parent Pubertal Development Scale and Menstrual Cycle Survey History (PDMS)","Phys Characteristics"
"49","stq01","ABCD Parent Screen Time Survey (STQ)","Questionnaire"
"50","abcd_pssrs01","ABCD Parent Short Social Responsiveness Scale","Social Responsiveness"
"51","abcd_sds01","ABCD Parent Sleep Disturbance Scale for Children (SDS)","Sleep"
"52","abcd_saiq02","ABCD Parent Sports and Activities Involvement Questionnaire (SAIQ)","Activity"
"53","abcd_via01","ABCD Parent Vancouver Index of Acculturation-Short Survey (VIA)","Social Adjustment"
"54","pmq01","ABCD Parental Monitoring Survey","Parenting"
"55","prq01","ABCD Parental Rules on Substance Use","Substance Use"
"56","abcd_ps01","ABCD Pearson Scores","Cognitive"
"57","pps01","ABCD Prodromal Psychosis Scale","Psychosis"
"58","sph01","ABCD Pubertal Hormone Saliva","Phys Exam"
"59","abcd_ra01","ABCD RA Scanning Checklist and Notes","Questionnaire"
"60","srpf01","ABCD School Risk and Protective Factors Survey","Social Adjustment"
"61","abcd_screen01","ABCD Screener","Questionnaire"
"62","abcd_sscep01","ABCD Sum Scores Culture & Environment Parent","Social Adjustment"
"63","abcd_sscey01","ABCD Sum Scores Culture & Environment Youth","Social Adjustment"
"64","abcd_ssmty01","ABCD Sum Scores Mobil Tech Youth","Med History"
"65","abcd_ssphp01","ABCD Sum Scores Physical Health Parent","Med History"
"66","abcd_ssphy01","ABCD Sum Scores Physical Health Youth","Med History"
"67","abcd_tbi01","ABCD Sum Scores Traumatic Brain Injury","Trauma"
"68","abcd_ssbpmtf01","ABCD Summary Scores Brief Problem Monitor-Teacher Form for Ages 6-18","Behavior"
"69","abcd_devhxss01","ABCD Summary Scores Developmental History","Med History"
"70","abcd_medhxss01","ABCD Summary Scores Medical History","Med History"
"71","abcd_spacss01","ABCD Summary Scores Sports Activity","Activity"
"72","abcd_suss01","ABCD Summary Scores Substance Use","Substance Use"
"73","abcddemo01","ABCD TBX Demo","Demographics"
"74","abcd_midabwdp01","ABCD Task fMRI MID Average Beta Weights Destrieux Parcellations Part 1","Evaluated Data"
"75","abcd_midabwdp201","ABCD Task fMRI MID Average Beta Weights Destrieux Parcellations Part 2","Evaluated Data"
"76","abcd_midabwdp202","ABCD Task fMRI MID Average Beta Weights Destrieux Parcellations Part 2","Evaluated Data"
"77","midaparc02","ABCD Task fMRI MID Average Beta Weights Part 1","Evaluated Data"
"78","midaparc03","ABCD Task fMRI MID Average Beta Weights Part 1","Evaluated Data"
"79","midaparcp202","ABCD Task fMRI MID Average Beta Weights Part 2","Evaluated Data"
"80","midaparcp203","ABCD Task fMRI MID Average Beta Weights Part 2","Evaluated Data"
"81","abcd_midasemdp101","ABCD Task fMRI MID Average SEM Destrieux Parcellations Part 1","Evaluated Data"
"82","abcd_midasemdp201","ABCD Task fMRI MID Average SEM Destrieux Parcellations Part 2","Evaluated Data"
"83","abcd_midasemdp202","ABCD Task fMRI MID Average SEM Destrieux Parcellations Part 2","Evaluated Data"
"84","abcd_midasemp102","ABCD Task fMRI MID Average Standard Error of the Mean Part 1","Evaluated Data"
"85","abcd_midasemp101","ABCD Task fMRI MID Average Standard Error of the Mean Part 1","Evaluated Data"
"86","abcd_midasemp202","ABCD Task fMRI MID Average Standard Error of the Mean Part 2","Evaluated Data"
"87","abcd_midasemp201","ABCD Task fMRI MID Average Standard Error of the Mean Part 2","Evaluated Data"
"88","abcd_mid02","ABCD Task fMRI MID Behavior","Task Based"
"89","abcd_midr1bwdp101","ABCD Task fMRI MID Run 1 Beta Weights Destrieux Parcellations Part 1","Evaluated Data"
"90","abcd_midr1bwdp202","ABCD Task fMRI MID Run 1 Beta Weights Destrieux Parcellations Part 2","Evaluated Data"
"91","abcd_midr1bwdp201","ABCD Task fMRI MID Run 1 Beta Weights Destrieux Parcellations Part 2","Evaluated Data"
"92","abcd_midr1bwp102","ABCD Task fMRI MID Run 1 Beta Weights Part 1","Evaluated Data"
"93","abcd_midr1bwp101","ABCD Task fMRI MID Run 1 Beta Weights Part 1","Evaluated Data"
"94","abcd_midr1bwp201","ABCD Task fMRI MID Run 1 Beta Weights Part 2","Evaluated Data"
"95","abcd_midr1bwp202","ABCD Task fMRI MID Run 1 Beta Weights Part 2","Evaluated Data"
"96","abcd_tmidr1semdp101","ABCD Task fMRI MID Run 1 SEM Destrieux Parcellations Part 1","Evaluated Data"
"97","abcd_tmidr1semdp202","ABCD Task fMRI MID Run 1 SEM Destrieux Parcellations Part 2","Evaluated Data"
"98","abcd_tmidr1semdp201","ABCD Task fMRI MID Run 1 SEM Destrieux Parcellations Part 2","Evaluated Data"
"99","abcd_midsemp102","ABCD Task fMRI MID Run 1 Standard Error of the Mean Part 1","Evaluated Data"
"100","abcd_midsemp101","ABCD Task fMRI MID Run 1 Standard Error of the Mean Part 1","Evaluated Data"
"101","abcd_midsemp202","ABCD Task fMRI MID Run 1 Standard Error of the Mean Part 2","Evaluated Data"
"102","abcd_midsemp201","ABCD Task fMRI MID Run 1 Standard Error of the Mean Part 2","Evaluated Data"
"103","abcd_tr2bwdp01","ABCD Task fMRI MID Run 2 Beta Weights Destrieux Parcellations Part 1","Evaluated Data"
"104","abcd_tr2bwdp201","ABCD Task fMRI MID Run 2 Beta Weights Destrieux Parcellations Part 2","Evaluated Data"
"105","abcd_tr2bwdp202","ABCD Task fMRI MID Run 2 Beta Weights Destrieux Parcellations Part 2","Evaluated Data"
"106","midr2bwp101","ABCD Task fMRI MID Run 2 Beta Weights Part 1","Evaluated Data"
"107","midr2bwp102","ABCD Task fMRI MID Run 2 Beta Weights Part 1","Evaluated Data"
"108","midr2bwp202","ABCD Task fMRI MID Run 2 Beta Weights Part 2","Evaluated Data"
"109","midr2bwp201","ABCD Task fMRI MID Run 2 Beta Weights Part 2","Evaluated Data"
"110","abcd_tr2semdp101","ABCD Task fMRI MID Run 2 SEM Destrieux Parcellations Part 1","Evaluated Data"
"111","abcd_tr2semdp202","ABCD Task fMRI MID Run 2 SEM Destrieux Parcellations Part 2","Evaluated Data"
